origen,origen_lat,origen_lon,destino,destino_lat,destino_lon,poblacion_total
45 MÃ©xico,19.354167,-99.630833,30 MichoacÃ¡n de Ocampo,19.168611,-101.899722,57157
Ciudad de MÃ©xico,19.419444,-99.145556,8 Aguascalientes,21.880833,-102.296111,56811
29 Tlaxcala,19.428889,-98.160833,42 MÃ©xico,19.354167,-99.630833,55651
22 QuerÃ©taro,20.591,-100.391,31 Guanajuato,21.018889,-101.262778,55106
44 Jalisco,20.566667,-103.676389,28 MÃ©xico,19.354167,-99.630833,54789
07 Chiapas,16.41,-92.408611,21 MÃ©xico,19.354167,-99.630833,54062
45 MÃ©xico,19.354167,-99.630833,44 Veracruz de Ignacio de la Llave,19.434722,-96.383056,53954
11 Guanajuato,21.018889,-101.262778,11 Baja California,29.95,-115.116667,52438
30 Veracruz de Ignacio de la Llave,19.434722,-96.383056,42 Jalisco,20.566667,-103.676389,51241
15 MÃ©xico,19.354167,-99.630833,27 Jalisco,20.566667,-103.676389,51053
06 Colima,19.096667,-103.960833,19 Jalisco,20.566667,-103.676389,51038
Ciudad de MÃ©xico,19.419444,-99.145556,39 YucatÃ¡n,20.833333,-89,50589
30 Veracruz de Ignacio de la Llave,19.434722,-96.383056,41 Hidalgo,20.478333,-98.863611,50045
17 Morelos,18.7475,-99.070278,30 MÃ©xico,19.354167,-99.630833,50011
14 Jalisco,20.566667,-103.676389,13 Aguascalientes,21.880833,-102.296111,48836
42 Guerrero,17.613056,-99.95,25 Jalisco,20.566667,-103.676389,48197
25 Sinaloa,25.002778,-107.502778,37 Jalisco,20.566667,-103.676389,48082
04 Campeche,18.836389,-90.403333,26 Quintana Roo,19.6,-87.916667,47331
Ciudad de MÃ©xico,19.419444,-99.145556,28 Oaxaca,16.898056,-96.414167,46830
25 Sinaloa,25.002778,-107.502778,26 Baja California Sur,25.846111,-111.972778,46685
22 QuerÃ©taro,20.591,-100.391,35 MÃ©xico,19.354167,-99.630833,46578
32 Zacatecas,23.292778,-102.700556,35 Coahuila de Zaragoza,27.302222,-102.044722,46153
57 Tabasco,17.972222,-92.588889,56 Veracruz de Ignacio de la Llave,19.434722,-96.383056,44682
14 Jalisco,20.566667,-103.676389,Ciudad de MÃ©xico,19.419444,-99.145556,44653
21 Puebla,19.003611,-97.888333,32 Hidalgo,20.478333,-98.863611,43964
10 Durango,24.934722,-104.911944,10 Baja California,29.95,-115.116667,43827
28 Tamaulipas,24.287222,-98.563333,50 San Luis PotosÃ­,22.603333,-100.429722,43758
04 Campeche,18.836389,-90.403333,34 YucatÃ¡n,20.833333,-89,42984
32 Zacatecas,23.292778,-102.700556,38 Chihuahua,28.814167,-106.439444,42210
21 Puebla,19.003611,-97.888333,36 Morelos,18.7475,-99.070278,42095
24 San Luis PotosÃ­,22.603333,-100.429722,37 MÃ©xico,19.354167,-99.630833,41872
01 Aguascalientes,21.880833,-102.296111,14 Jalisco,20.566667,-103.676389,41814
40 Durango,24.934722,-104.911944,34 Sinaloa,25.002778,-107.502778,41740
27 Tabasco,17.972222,-92.588889,32 Chiapas,16.41,-92.408611,40886
30 Veracruz de Ignacio de la Llave,19.434722,-96.383056,50 QuerÃ©taro,20.591,-100.391,40406
43 Hidalgo,20.478333,-98.863611,31 Nuevo LeÃ³n,25.566667,-99.970556,39917
Ciudad de MÃ©xico,19.419444,-99.145556,32 San Luis PotosÃ­,22.603333,-100.429722,39289
21 Puebla,19.003611,-97.888333,21 Baja California,29.95,-115.116667,39281
43 Hidalgo,20.478333,-98.863611,42 Veracruz de Ignacio de la Llave,19.434722,-96.383056,38970
15 México,19.354167,-99.630833,15 Baja California,29.95,-115.116667,38791
26 Sonora,29.646111,-110.868889,49 Sinaloa,25.002778,-107.502778,38389
29 Tlaxcala,19.428889,-98.160833,Ciudad de MÃ©xico,19.419444,-99.145556,37907
46 MichoacÃ¡n de Ocampo,19.168611,-101.899722,37 QuerÃ©taro,20.591,-100.391,37846
07 Chiapas,16.41,-92.408611,Ciudad de MÃ©xico,19.419444,-99.145556,37747
07 Chiapas,16.41,-92.408611,36 Veracruz de Ignacio de la Llave,19.434722,-96.383056,37665
02 Baja California,29.95,-115.116667,27 Sonora,29.646111,-110.868889,37286
40 Durango,24.934722,-104.911944,28 Nuevo LeÃ³n,25.566667,-99.970556,37257
Ciudad de MÃ©xico,19.419444,-99.145556,37 Tlaxcala,19.428889,-98.160833,37036
08 Chihuahua,28.814167,-106.439444,33 Sonora,29.646111,-110.868889,36815
57 Tabasco,17.972222,-92.588889,57 YucatÃ¡n,20.833333,-89,36671
53 Quintana Roo,19.6,-87.916667,53 YucatÃ¡n,20.833333,-89,36142
01 Aguascalientes,21.880833,-102.296111,32 Zacatecas,23.292778,-102.700556,36033
30 Veracruz de Ignacio de la Llave,19.434722,-96.383056,33 Coahuila de Zaragoza,27.302222,-102.044722,35841
43 Hidalgo,20.478333,-98.863611,34 QuerÃ©taro,20.591,-100.391,35707
16 Michoacán de Ocampo,19.168611,-101.899722,20 Colima,19.096667,-103.960833,35690
Ciudad de MÃ©xico,19.419444,-99.145556,20 Guerrero,17.613056,-99.95,35690
30 Veracruz de Ignacio de la Llave,19.434722,-96.383056,32 Campeche,18.836389,-90.403333,35686
32 Zacatecas,23.292778,-102.700556,54 San Luis PotosÃ­,22.603333,-100.429722,35262
17 Morelos,18.7475,-99.070278,Ciudad de MÃ©xico,19.419444,-99.145556,34857
44 Jalisco,20.566667,-103.676389,45 Zacatecas,23.292778,-102.700556,34740
45 MÃ©xico,19.354167,-99.630833,34 Oaxaca,16.898056,-96.414167,33785
45 MÃ©xico,19.354167,-99.630833,33 Nuevo LeÃ³n,25.566667,-99.970556,32019
08 Chihuahua,28.814167,-106.439444,17 Durango,24.934722,-104.911944,31849
42 Guerrero,17.613056,-99.95,34 Quintana Roo,19.6,-87.916667,31213
15 MÃ©xico,19.354167,-99.630833,25 Guerrero,17.613056,-99.95,30995
Ciudad de MÃ©xico,19.419444,-99.145556,36 Tamaulipas,24.287222,-98.563333,30343
43 Hidalgo,20.478333,-98.863611,33 Puebla,19.003611,-97.888333,30281
05 Coahuila de Zaragoza,27.302222,-102.044722,32 Tamaulipas,24.287222,-98.563333,30208
07 Chiapas,16.41,-92.408611,25 Nuevo LeÃ³n,25.566667,-99.970556,29985
45 MÃ©xico,19.354167,-99.630833,37 Quintana Roo,19.6,-87.916667,29880
42 Guerrero,17.613056,-99.95,36 Sinaloa,25.002778,-107.502778,28934
49 Nuevo LeÃ³n,25.566667,-99.970556,42 San Luis PotosÃ­,22.603333,-100.429722,28770
02 Baja California,29.95,-115.116667,26 Sinaloa,25.002778,-107.502778,28650
07 Chiapas,16.41,-92.408611,26 Oaxaca,16.898056,-96.414167,27956
60 Veracruz de Ignacio de la Llave,19.434722,-96.383056,60 YucatÃ¡n,20.833333,-89,27832
16 MichoacÃ¡n de Ocampo,19.168611,-101.899722,26 Guerrero,17.613056,-99.95,27028
48 Nayarit,21.743889,-105.228333,42 Sinaloa,25.002778,-107.502778,26821
09 Ciudad de México,19.419444,-99.145556,15 Chihuahua,28.814167,-106.439444,26638
42 Guerrero,17.613056,-99.95,32 Puebla,19.003611,-97.888333,26552
20 Oaxaca,16.898056,-96.414167,37 Nuevo LeÃ³n,25.566667,-99.970556,26487
32 Zacatecas,23.292778,-102.700556,32 Baja California,29.95,-115.116667,26354
08 Chihuahua,28.814167,-106.439444,11 Coahuila de Zaragoza,27.302222,-102.044722,26312
07 Chiapas,16.41,-92.408611,9 Campeche,18.836389,-90.403333,26132
20 Oaxaca,16.898056,-96.414167,26 Chihuahua,28.814167,-106.439444,25765
02 Baja California,29.95,-115.116667,15 Jalisco,20.566667,-103.676389,25532
09 Ciudad de México,19.419444,-99.145556,10 Baja California Sur,25.846111,-111.972778,24755
21 Puebla,19.003611,-97.888333,39 Oaxaca,16.898056,-96.414167,24554
24 San Luis PotosÃ­,22.603333,-100.429722,35 Hidalgo,20.478333,-98.863611,24509
22 QuerÃ©taro,20.591,-100.391,Ciudad de MÃ©xico,19.419444,-99.145556,24319
07 Chiapas,16.41,-92.408611,20 Jalisco,20.566667,-103.676389,24244
32 Zacatecas,23.292778,-102.700556,45 MÃ©xico,19.354167,-99.630833,24206
30 Veracruz de Ignacio de la Llave,19.434722,-96.383056,35 Chiapas,16.41,-92.408611,24201
41 Guanajuato,21.018889,-101.262778,38 Tamaulipas,24.287222,-98.563333,24096
24 San Luis PotosÃ­,22.603333,-100.429722,Ciudad de MÃ©xico,19.419444,-99.145556,24014
24 San Luis PotosÃ­,22.603333,-100.429722,33 Guanajuato,21.018889,-101.262778,23998
30 Veracruz de Ignacio de la Llave,19.434722,-96.383056,39 Guanajuato,21.018889,-101.262778,23910
20 Oaxaca,16.898056,-96.414167,32 Jalisco,20.566667,-103.676389,23650
44 Jalisco,20.566667,-103.676389,39 Sonora,29.646111,-110.868889,23267
24 San Luis PotosÃ­,22.603333,-100.429722,36 Jalisco,20.566667,-103.676389,23153
20 Oaxaca,16.898056,-96.414167,30 Guerrero,17.613056,-99.95,22925
45 MÃ©xico,19.354167,-99.630833,43 Tlaxcala,19.428889,-98.160833,22820
20 Oaxaca,16.898056,-96.414167,25 Chiapas,16.41,-92.408611,22523
31 Yucatán,20.833333,-89,33 Campeche,18.836389,-90.403333,22448
09 Ciudad de México,19.419444,-99.145556,14 Chiapas,16.41,-92.408611,22227
44 Jalisco,20.566667,-103.676389,32 Nuevo LeÃ³n,25.566667,-99.970556,22093
32 Zacatecas,23.292778,-102.700556,40 Durango,24.934722,-104.911944,22003
25 Sinaloa,25.002778,-107.502778,31 Chihuahua,28.814167,-106.439444,21975
09 Ciudad de México,19.419444,-99.145556,12 Coahuila de Zaragoza,27.302222,-102.044722,21894
17 Morelos,18.7475,-99.070278,27 Guerrero,17.613056,-99.95,21817
42 Guerrero,17.613056,-99.95,33 QuerÃ©taro,20.591,-100.391,21796
25 Sinaloa,25.002778,-107.502778,33 Durango,24.934722,-104.911944,21793
47 Morelos,18.7475,-99.070278,37 Puebla,19.003611,-97.888333,21658
08 Chihuahua,28.814167,-106.439444,32 Sinaloa,25.002778,-107.502778,21609
41 Guanajuato,21.018889,-101.262778,29 Nuevo LeÃ³n,25.566667,-99.970556,21460
30 Veracruz de Ignacio de la Llave,19.434722,-96.383056,52 San Luis PotosÃ­,22.603333,-100.429722,21276
42 Guerrero,17.613056,-99.95,31 Oaxaca,16.898056,-96.414167,21230
41 Guanajuato,21.018889,-101.262778,34 San Luis PotosÃ­,22.603333,-100.429722,20942
28 Tamaulipas,24.287222,-98.563333,31 Coahuila de Zaragoza,27.302222,-102.044722,20699
27 Tabasco,17.972222,-92.588889,44 Nuevo LeÃ³n,25.566667,-99.970556,20699
21 Puebla,19.003611,-97.888333,33 Jalisco,20.566667,-103.676389,20645
43 Hidalgo,20.478333,-98.863611,26 Jalisco,20.566667,-103.676389,20475
40 Durango,24.934722,-104.911944,41 Zacatecas,23.292778,-102.700556,20369
24 San Luis Potosí,22.603333,-100.429722,27 Coahuila de Zaragoza,27.302222,-102.044722,20344
08 Chihuahua,28.814167,-106.439444,8 Baja California,29.95,-115.116667,20184
44 Jalisco,20.566667,-103.676389,38 Sinaloa,25.002778,-107.502778,19923
20 Oaxaca,16.898056,-96.414167,35 Morelos,18.7475,-99.070278,19531
30 Veracruz de Ignacio de la Llave,19.434722,-96.383056,45 Morelos,18.7475,-99.070278,19436
50 Oaxaca,16.898056,-96.414167,42 Quintana Roo,19.6,-87.916667,19275
26 Sonora,29.646111,-110.868889,38 Jalisco,20.566667,-103.676389,18653
54 San Luis PotosÃ­,22.603333,-100.429722,53 Veracruz de Ignacio de la Llave,19.434722,-96.383056,18542
08 Chihuahua,28.814167,-106.439444,26 Nuevo LeÃ³n,25.566667,-99.970556,18338
45 MÃ©xico,19.354167,-99.630833,38 San Luis PotosÃ­,22.603333,-100.429722,18301
51 Puebla,19.003611,-97.888333,42 QuerÃ©taro,20.591,-100.391,18125
20 Oaxaca,16.898056,-96.414167,21 Baja California Sur,25.846111,-111.972778,18094
15 MÃ©xico,19.354167,-99.630833,14 Aguascalientes,21.880833,-102.296111,18036
51 Puebla,19.003611,-97.888333,43 Quintana Roo,19.6,-87.916667,17934
07 Chiapas,16.41,-92.408611,37 YucatÃ¡n,20.833333,-89,17747
21 Puebla,19.003611,-97.888333,38 Nuevo LeÃ³n,25.566667,-99.970556,17731
48 Nayarit,21.743889,-105.228333,43 Sonora,29.646111,-110.868889,17544
25 Sinaloa,25.002778,-107.502778,41 Nayarit,21.743889,-105.228333,17510
24 San Luis PotosÃ­,22.603333,-100.429722,44 QuerÃ©taro,20.591,-100.391,17496
22 QuerÃ©taro,20.591,-100.391,33 Hidalgo,20.478333,-98.863611,17495
46 MichoacÃ¡n de Ocampo,19.168611,-101.899722,41 Sonora,29.646111,-110.868889,17213
30 Veracruz de Ignacio de la Llave,19.434722,-96.383056,31 Baja California Sur,25.846111,-111.972778,17106
37 Chiapas,16.41,-92.408611,14 Chihuahua,28.814167,-106.439444,17095
28 Tamaulipas,24.287222,-98.563333,41 MÃ©xico,19.354167,-99.630833,16995
44 Jalisco,20.566667,-103.676389,35 QuerÃ©taro,20.591,-100.391,16887
50 Oaxaca,16.898056,-96.414167,45 Sonora,29.646111,-110.868889,16811
07 Chiapas,16.41,-92.408611,27 Puebla,19.003611,-97.888333,16739
Ciudad de MÃ©xico,19.419444,-99.145556,34 Sonora,29.646111,-110.868889,16452
14 Jalisco,20.566667,-103.676389,15 Baja California Sur,25.846111,-111.972778,16142
45 MÃ©xico,19.354167,-99.630833,42 Tamaulipas,24.287222,-98.563333,16071
30 Veracruz de Ignacio de la Llave,19.434722,-96.383056,57 Tlaxcala,19.428889,-98.160833,15969
29 Tlaxcala,19.428889,-98.160833,40 Hidalgo,20.478333,-98.863611,15931
28 Tamaulipas,24.287222,-98.563333,Ciudad de MÃ©xico,19.419444,-99.145556,15824
12 Guerrero,17.613056,-99.95,16 Colima,19.096667,-103.960833,15783
30 Veracruz de Ignacio de la Llave,19.434722,-96.383056,54 Sonora,29.646111,-110.868889,15655
03 Baja California Sur,25.846111,-111.972778,3 Baja California,29.95,-115.116667,15622
26 Sonora,29.646111,-110.868889,32 Chihuahua,28.814167,-106.439444,15536
06 Colima,19.096667,-103.960833,21 MichoacÃ¡n de Ocampo,19.168611,-101.899722,15528
46 MichoacÃ¡n de Ocampo,19.168611,-101.899722,32 Morelos,18.7475,-99.070278,15289
06 Colima,19.096667,-103.960833,6 Baja California,29.95,-115.116667,15255
17 Morelos,18.7475,-99.070278,17 Baja California,29.95,-115.116667,15155
32 Zacatecas,23.292778,-102.700556,Ciudad de MÃ©xico,19.419444,-99.145556,14787
15 México,19.354167,-99.630833,16 Baja California Sur,25.846111,-111.972778,14651
42 Guerrero,17.613056,-99.95,29 Nayarit,21.743889,-105.228333,14609
07 Chiapas,16.41,-92.408611,34 Tamaulipas,24.287222,-98.563333,14509
46 MichoacÃ¡n de Ocampo,19.168611,-101.899722,33 Nayarit,21.743889,-105.228333,14495
54 San Luis PotosÃ­,22.603333,-100.429722,55 Zacatecas,23.292778,-102.700556,14483
12 Guerrero,17.613056,-99.95,21 Guanajuato,21.018889,-101.262778,14415
15 México,19.354167,-99.630833,21 Chihuahua,28.814167,-106.439444,14409
43 Hidalgo,20.478333,-98.863611,41 Tlaxcala,19.428889,-98.160833,14282
46 MichoacÃ¡n de Ocampo,19.168611,-101.899722,34 Nuevo LeÃ³n,25.566667,-99.970556,14133
02 Baja California,29.95,-115.116667,4 Baja California Sur,25.846111,-111.972778,14059
30 Veracruz de Ignacio de la Llave,19.434722,-96.383056,53 Sinaloa,25.002778,-107.502778,14059
04 Campeche,18.836389,-90.403333,30 Tabasco,17.972222,-92.588889,14001
51 Puebla,19.003611,-97.888333,48 Tamaulipas,24.287222,-98.563333,13862
25 Sinaloa,25.002778,-107.502778,Ciudad de MÃ©xico,19.419444,-99.145556,13845
28 Tamaulipas,24.287222,-98.563333,37 Guanajuato,21.018889,-101.262778,13836
42 Guerrero,17.613056,-99.95,30 Nuevo LeÃ³n,25.566667,-99.970556,13762
Ciudad de MÃ©xico,19.419444,-99.145556,35 Tabasco,17.972222,-92.588889,13722
40 Durango,24.934722,-104.911944,23 Jalisco,20.566667,-103.676389,13691
09 Ciudad de México,19.419444,-99.145556,13 Colima,19.096667,-103.960833,13670
50 Oaxaca,16.898056,-96.414167,44 Sinaloa,25.002778,-107.502778,13554
07 Chiapas,16.41,-92.408611,32 Sonora,29.646111,-110.868889,13541
50 Oaxaca,16.898056,-96.414167,41 QuerÃ©taro,20.591,-100.391,13379
40 Durango,24.934722,-104.911944,35 Sonora,29.646111,-110.868889,13342
44 Jalisco,20.566667,-103.676389,37 San Luis PotosÃ­,22.603333,-100.429722,13296
27 Tabasco,17.972222,-92.588889,40 MÃ©xico,19.354167,-99.630833,13277
43 Hidalgo,20.478333,-98.863611,40 Tamaulipas,24.287222,-98.563333,13230
Ciudad de MÃ©xico,19.419444,-99.145556,33 Sinaloa,25.002778,-107.502778,13123
42 Guerrero,17.613056,-99.95,41 Veracruz de Ignacio de la Llave,19.434722,-96.383056,12906
28 Tamaulipas,24.287222,-98.563333,40 Jalisco,20.566667,-103.676389,12807
Ciudad de MÃ©xico,19.419444,-99.145556,40 Zacatecas,23.292778,-102.700556,12667
42 Guerrero,17.613056,-99.95,37 Sonora,29.646111,-110.868889,12586
21 Puebla,19.003611,-97.888333,30 Guanajuato,21.018889,-101.262778,12375
19 Nuevo LeÃ³n,25.566667,-99.970556,Ciudad de MÃ©xico,19.419444,-99.145556,12335
08 Chihuahua,28.814167,-106.439444,21 Jalisco,20.566667,-103.676389,12238
28 Tamaulipas,24.287222,-98.563333,48 QuerÃ©taro,20.591,-100.391,12217
30 Veracruz de Ignacio de la Llave,19.434722,-96.383056,44 MichoacÃ¡n de Ocampo,19.168611,-101.899722,12213
11 Guanajuato,21.018889,-101.262778,10 Aguascalientes,21.880833,-102.296111,12188
Ciudad de MÃ©xico,19.419444,-99.145556,26 Nayarit,21.743889,-105.228333,12173
15 México,19.354167,-99.630833,18 Coahuila de Zaragoza,27.302222,-102.044722,11938
57 Tabasco,17.972222,-92.588889,54 Tamaulipas,24.287222,-98.563333,11873
19 Nuevo LeÃ³n,25.566667,-99.970556,32 MÃ©xico,19.354167,-99.630833,11810
07 Chiapas,16.41,-92.408611,8 Baja California Sur,25.846111,-111.972778,11803
14 Jalisco,20.566667,-103.676389,20 Chihuahua,28.814167,-106.439444,11802
45 MÃ©xico,19.354167,-99.630833,45 YucatÃ¡n,20.833333,-89,11784
25 Sinaloa,25.002778,-107.502778,38 MÃ©xico,19.354167,-99.630833,11722
46 MichoacÃ¡n de Ocampo,19.168611,-101.899722,43 Tamaulipas,24.287222,-98.563333,11616
43 Hidalgo,20.478333,-98.863611,36 San Luis PotosÃ­,22.603333,-100.429722,11539
26 Sonora,29.646111,-110.868889,27 Baja California Sur,25.846111,-111.972778,11476
21 Puebla,19.003611,-97.888333,22 Baja California Sur,25.846111,-111.972778,11450
44 Jalisco,20.566667,-103.676389,36 Quintana Roo,19.6,-87.916667,11449
05 Coahuila de Zaragoza,27.302222,-102.044722,18 Jalisco,20.566667,-103.676389,11400
27 Tabasco,17.972222,-92.588889,Ciudad de MÃ©xico,19.419444,-99.145556,11308
44 Jalisco,20.566667,-103.676389,41 Tamaulipas,24.287222,-98.563333,11268
16 Michoacán de Ocampo,19.168611,-101.899722,17 Baja California Sur,25.846111,-111.972778,11231
50 Oaxaca,16.898056,-96.414167,47 Tamaulipas,24.287222,-98.563333,11192
20 Oaxaca,16.898056,-96.414167,31 Hidalgo,20.478333,-98.863611,11160
08 Chihuahua,28.814167,-106.439444,Ciudad de MÃ©xico,19.419444,-99.145556,11068
24 San Luis PotosÃ­,22.603333,-100.429722,23 Aguascalientes,21.880833,-102.296111,11062
25 Sinaloa,25.002778,-107.502778,42 Nuevo LeÃ³n,25.566667,-99.970556,11035
41 Guanajuato,21.018889,-101.262778,36 Sonora,29.646111,-110.868889,10974
13 Hidalgo,20.478333,-98.863611,13 Baja California,29.95,-115.116667,10948
40 Durango,24.934722,-104.911944,37 Tamaulipas,24.287222,-98.563333,10917
46 MichoacÃ¡n de Ocampo,19.168611,-101.899722,45 Veracruz de Ignacio de la Llave,19.434722,-96.383056,10798
08 Chihuahua,28.814167,-106.439444,22 MÃ©xico,19.354167,-99.630833,10791
21 Puebla,19.003611,-97.888333,31 Guerrero,17.613056,-99.95,10786
46 MichoacÃ¡n de Ocampo,19.168611,-101.899722,40 Sinaloa,25.002778,-107.502778,10779
23 Quintana Roo,19.6,-87.916667,25 Campeche,18.836389,-90.403333,10660
13 Hidalgo,20.478333,-98.863611,22 Guanajuato,21.018889,-101.262778,10601
15 México,19.354167,-99.630833,20 Chiapas,16.41,-92.408611,10579
16 MichoacÃ¡n de Ocampo,19.168611,-101.899722,27 Hidalgo,20.478333,-98.863611,10470
40 Durango,24.934722,-104.911944,24 MÃ©xico,19.354167,-99.630833,10409
05 Coahuila de Zaragoza,27.302222,-102.044722,36 Zacatecas,23.292778,-102.700556,10397
05 Coahuila de Zaragoza,27.302222,-102.044722,19 MÃ©xico,19.354167,-99.630833,10388
19 Nuevo LeÃ³n,25.566667,-99.970556,31 Jalisco,20.566667,-103.676389,10357
32 Zacatecas,23.292778,-102.700556,41 Guanajuato,21.018889,-101.262778,10334
05 Coahuila de Zaragoza,27.302222,-102.044722,Ciudad de MÃ©xico,19.419444,-99.145556,10328
49 Nuevo LeÃ³n,25.566667,-99.970556,48 Veracruz de Ignacio de la Llave,19.434722,-96.383056,10213
02 Baja California,29.95,-115.116667,19 Nayarit,21.743889,-105.228333,10148
44 Jalisco,20.566667,-103.676389,43 Veracruz de Ignacio de la Llave,19.434722,-96.383056,10094
08 Chihuahua,28.814167,-106.439444,37 Veracruz de Ignacio de la Llave,19.434722,-96.383056,10041
07 Chiapas,16.41,-92.408611,10 Coahuila de Zaragoza,27.302222,-102.044722,9998
46 MichoacÃ¡n de Ocampo,19.168611,-101.899722,36 Puebla,19.003611,-97.888333,9986
02 Baja California,29.95,-115.116667,16 MÃ©xico,19.354167,-99.630833,9922
20 Oaxaca,16.898056,-96.414167,29 Guanajuato,21.018889,-101.262778,9892
42 Guerrero,17.613056,-99.95,24 Hidalgo,20.478333,-98.863611,9879
07 Chiapas,16.41,-92.408611,24 Nayarit,21.743889,-105.228333,9871
12 Guerrero,17.613056,-99.95,18 Chihuahua,28.814167,-106.439444,9677
32 Zacatecas,23.292778,-102.700556,58 Tamaulipas,24.287222,-98.563333,9663
05 Coahuila de Zaragoza,27.302222,-102.044722,5 Baja California,29.95,-115.116667,9610
11 Guanajuato,21.018889,-101.262778,17 Chihuahua,28.814167,-106.439444,9540
52 QuerÃ©taro,20.591,-100.391,45 San Luis PotosÃ­,22.603333,-100.429722,9390
07 Chiapas,16.41,-92.408611,28 QuerÃ©taro,20.591,-100.391,9101
41 Guanajuato,21.018889,-101.262778,23 Hidalgo,20.478333,-98.863611,9035
26 Sonora,29.646111,-110.868889,Ciudad de MÃ©xico,19.419444,-99.145556,8883
47 Morelos,18.7475,-99.070278,38 QuerÃ©taro,20.591,-100.391,8869
21 Puebla,19.003611,-97.888333,27 Chihuahua,28.814167,-106.439444,8752
11 Guanajuato,21.018889,-101.262778,14 Coahuila de Zaragoza,27.302222,-102.044722,8643
27 Tabasco,17.972222,-92.588889,46 Puebla,19.003611,-97.888333,8544
27 Tabasco,17.972222,-92.588889,27 Baja California,29.95,-115.116667,8496
26 Sonora,29.646111,-110.868889,43 Nuevo LeÃ³n,25.566667,-99.970556,8492
50 Oaxaca,16.898056,-96.414167,46 Tabasco,17.972222,-92.588889,8485
14 Jalisco,20.566667,-103.676389,17 Coahuila de Zaragoza,27.302222,-102.044722,8431
10 Durango,24.934722,-104.911944,11 Baja California Sur,25.846111,-111.972778,8400
45 MÃ©xico,19.354167,-99.630833,40 Sonora,29.646111,-110.868889,8350
09 Ciudad de México,19.419444,-99.145556,11 Campeche,18.836389,-90.403333,8343
42 Guerrero,17.613056,-99.95,39 Tamaulipas,24.287222,-98.563333,8343
Ciudad de MÃ©xico,19.419444,-99.145556,18 Durango,24.934722,-104.911944,8315
41 Guanajuato,21.018889,-101.262778,35 Sinaloa,25.002778,-107.502778,8290
10 Durango,24.934722,-104.911944,Ciudad de MÃ©xico,19.419444,-99.145556,8269
02 Baja California,29.95,-115.116667,Ciudad de MÃ©xico,19.419444,-99.145556,8257
44 Jalisco,20.566667,-103.676389,34 Puebla,19.003611,-97.888333,8226
30 Veracruz de Ignacio de la Llave,19.434722,-96.383056,40 Guerrero,17.613056,-99.95,8173
01 Aguascalientes,21.880833,-102.296111,15 MÃ©xico,19.354167,-99.630833,8024
02 Baja California,29.95,-115.116667,17 MichoacÃ¡n de Ocampo,19.168611,-101.899722,7931
21 Puebla,19.003611,-97.888333,26 Chiapas,16.41,-92.408611,7834
43 Hidalgo,20.478333,-98.863611,29 Morelos,18.7475,-99.070278,7662
46 MichoacÃ¡n de Ocampo,19.168611,-101.899722,38 Quintana Roo,19.6,-87.916667,7638
22 QuerÃ©taro,20.591,-100.391,34 Jalisco,20.566667,-103.676389,7619
11 Guanajuato,21.018889,-101.262778,12 Baja California Sur,25.846111,-111.972778,7527
17 Morelos,18.7475,-99.070278,29 Jalisco,20.566667,-103.676389,7506
04 Campeche,18.836389,-90.403333,33 Veracruz de Ignacio de la Llave,19.434722,-96.383056,7424
20 Oaxaca,16.898056,-96.414167,23 Coahuila de Zaragoza,27.302222,-102.044722,7373
41 Guanajuato,21.018889,-101.262778,40 Veracruz de Ignacio de la Llave,19.434722,-96.383056,7354
45 MÃ©xico,19.354167,-99.630833,46 Zacatecas,23.292778,-102.700556,7298
31 YucatÃ¡n,20.833333,-89,Ciudad de MÃ©xico,19.419444,-99.145556,7289
51 Puebla,19.003611,-97.888333,47 Tabasco,17.972222,-92.588889,7285
19 Nuevo León,25.566667,-99.970556,25 Chihuahua,28.814167,-106.439444,7274
05 Coahuila de Zaragoza,27.302222,-102.044722,28 San Luis PotosÃ­,22.603333,-100.429722,7268
24 San Luis Potosí,22.603333,-100.429722,24 Baja California,29.95,-115.116667,7193
16 Michoacán de Ocampo,19.168611,-101.899722,22 Chihuahua,28.814167,-106.439444,7171
20 Oaxaca,16.898056,-96.414167,34 MichoacÃ¡n de Ocampo,19.168611,-101.899722,7154
41 Guanajuato,21.018889,-101.262778,31 Puebla,19.003611,-97.888333,7144
01 Aguascalientes,21.880833,-102.296111,11 Guanajuato,21.018889,-101.262778,7143
14 Jalisco,20.566667,-103.676389,25 Hidalgo,20.478333,-98.863611,7132
22 QuerÃ©taro,20.591,-100.391,39 Nuevo LeÃ³n,25.566667,-99.970556,7116
52 QuerÃ©taro,20.591,-100.391,49 Tamaulipas,24.287222,-98.563333,7105
07 Chiapas,16.41,-92.408611,22 MichoacÃ¡n de Ocampo,19.168611,-101.899722,7101
01 Aguascalientes,21.880833,-102.296111,Ciudad de MÃ©xico,19.419444,-99.145556,7059
16 MichoacÃ¡n de Ocampo,19.168611,-101.899722,15 Aguascalientes,21.880833,-102.296111,7011
26 Sonora,29.646111,-110.868889,39 MÃ©xico,19.354167,-99.630833,6954
21 Puebla,19.003611,-97.888333,35 MichoacÃ¡n de Ocampo,19.168611,-101.899722,6949
32 Zacatecas,23.292778,-102.700556,48 Nayarit,21.743889,-105.228333,6935
30 Veracruz de Ignacio de la Llave,19.434722,-96.383056,29 Aguascalientes,21.880833,-102.296111,6872
45 MÃ©xico,19.354167,-99.630833,39 Sinaloa,25.002778,-107.502778,6868
