origen,origen_lat,origen_lon,destino,destino_lat,destino_lon,poblacion_total
03 Baja California Sur,25.846111,-111.972778,21 Nuevo LeÃ³n,25.566667,-99.970556,870
24 San Luis Potosí,22.603333,-100.429722,26 Campeche,18.836389,-90.403333,865
13 Hidalgo,20.478333,-98.863611,15 Campeche,18.836389,-90.403333,862
24 Colima,19.096667,-103.960833,13 Chihuahua,28.814167,-106.439444,862
52 QuerÃ©taro,20.591,-100.391,46 Sinaloa,25.002778,-107.502778,853
17 Morelos,18.7475,-99.070278,21 Colima,19.096667,-103.960833,852
19 Nuevo LeÃ³n,25.566667,-99.970556,35 Nayarit,21.743889,-105.228333,850
24 San Luis Potosí,22.603333,-100.429722,29 Chiapas,16.41,-92.408611,845
07 Chiapas,16.41,-92.408611,38 Zacatecas,23.292778,-102.700556,845
06 Colima,19.096667,-103.960833,5 Aguascalientes,21.880833,-102.296111,835
02 Baja California,29.95,-115.116667,30 Tlaxcala,19.428889,-98.160833,824
23 Quintana Roo,19.6,-87.916667,29 Chihuahua,28.814167,-106.439444,816
18 Nayarit,21.743889,-105.228333,23 Chiapas,16.41,-92.408611,815
18 Nayarit,21.743889,-105.228333,33 Morelos,18.7475,-99.070278,815
04 Campeche,18.836389,-90.403333,25 QuerÃ©taro,20.591,-100.391,815
54 Tamaulipas,24.287222,-98.563333,56 Tlaxcala,19.428889,-98.160833,814
40 Durango,24.934722,-104.911944,29 Oaxaca,16.898056,-96.414167,811
34 Campeche,18.836389,-90.403333,8 Coahuila de Zaragoza,27.302222,-102.044722,803
02 Baja California,29.95,-115.116667,28 Tabasco,17.972222,-92.588889,802
03 Baja California Sur,25.846111,-111.972778,23 Puebla,19.003611,-97.888333,798
18 Nayarit,21.743889,-105.228333,29 Hidalgo,20.478333,-98.863611,795
10 Durango,24.934722,-104.911944,15 Chiapas,16.41,-92.408611,780
19 Nuevo LeÃ³n,25.566667,-99.970556,29 Guerrero,17.613056,-99.95,775
29 Tlaxcala,19.428889,-98.160833,53 Sonora,29.646111,-110.868889,770
06 Colima,19.096667,-103.960833,26 Puebla,19.003611,-97.888333,765
52 QuerÃ©taro,20.591,-100.391,53 Zacatecas,23.292778,-102.700556,764
19 Nuevo León,25.566667,-99.970556,23 Colima,19.096667,-103.960833,760
05 Coahuila de Zaragoza,27.302222,-102.044722,16 Guerrero,17.613056,-99.95,755
19 Nuevo León,25.566667,-99.970556,21 Campeche,18.836389,-90.403333,743
29 Tlaxcala,19.428889,-98.160833,28 Aguascalientes,21.880833,-102.296111,741
29 Tlaxcala,19.428889,-98.160833,39 Guerrero,17.613056,-99.95,741
52 QuerÃ©taro,20.591,-100.391,50 Tlaxcala,19.428889,-98.160833,733
40 Durango,24.934722,-104.911944,21 Guerrero,17.613056,-99.95,732
31 YucatÃ¡n,20.833333,-89,46 Morelos,18.7475,-99.070278,726
03 Baja California Sur,25.846111,-111.972778,18 MichoacÃ¡n de Ocampo,19.168611,-101.899722,724
27 Tabasco,17.972222,-92.588889,26 Aguascalientes,21.880833,-102.296111,720
22 Querétaro,20.591,-100.391,27 Chiapas,16.41,-92.408611,706
06 Colima,19.096667,-103.960833,9 Coahuila de Zaragoza,27.302222,-102.044722,705
04 Campeche,18.836389,-90.403333,14 Guanajuato,21.018889,-101.262778,705
40 Durango,24.934722,-104.911944,40 YucatÃ¡n,20.833333,-89,701
01 Aguascalientes,21.880833,-102.296111,17 Morelos,18.7475,-99.070278,696
04 Campeche,18.836389,-90.403333,19 MichoacÃ¡n de Ocampo,19.168611,-101.899722,694
48 Nayarit,21.743889,-105.228333,37 Oaxaca,16.898056,-96.414167,689
23 Quintana Roo,19.6,-87.916667,32 Guanajuato,21.018889,-101.262778,684
03 Baja California Sur,25.846111,-111.972778,10 Chihuahua,28.814167,-106.439444,682
05 Coahuila de Zaragoza,27.302222,-102.044722,7 Campeche,18.836389,-90.403333,677
01 Aguascalientes,21.880833,-102.296111,06 Colima,19.096667,-103.960833,677
31 Yucatán,20.833333,-89,34 Coahuila de Zaragoza,27.302222,-102.044722,675
03 Baja California Sur,25.846111,-111.972778,13 Guanajuato,21.018889,-101.262778,671
23 Quintana Roo,19.6,-87.916667,38 Morelos,18.7475,-99.070278,669
03 Baja California Sur,25.846111,-111.972778,12 Durango,24.934722,-104.911944,668
31 YucatÃ¡n,20.833333,-89,42 Hidalgo,20.478333,-98.863611,663
22 Querétaro,20.591,-100.391,26 Colima,19.096667,-103.960833,651
22 QuerÃ©taro,20.591,-100.391,30 Durango,24.934722,-104.911944,649
23 Quintana Roo,19.6,-87.916667,26 Coahuila de Zaragoza,27.302222,-102.044722,622
32 Zacatecas,23.292778,-102.700556,42 Guerrero,17.613056,-99.95,620
06 Colima,19.096667,-103.960833,25 Oaxaca,16.898056,-96.414167,617
29 Tlaxcala,19.428889,-98.160833,52 Sinaloa,25.002778,-107.502778,611
31 YucatÃ¡n,20.833333,-89,55 Sonora,29.646111,-110.868889,604
29 Tlaxcala,19.428889,-98.160833,54 Tabasco,17.972222,-92.588889,603
32 Zacatecas,23.292778,-102.700556,50 Oaxaca,16.898056,-96.414167,598
23 Quintana Roo,19.6,-87.916667,34 Hidalgo,20.478333,-98.863611,596
06 Colima,19.096667,-103.960833,29 San Luis PotosÃ­,22.603333,-100.429722,595
02 Baja California,29.95,-115.116667,5 Campeche,18.836389,-90.403333,591
06 Colima,19.096667,-103.960833,18 Hidalgo,20.478333,-98.863611,590
59 Tlaxcala,19.428889,-98.160833,59 YucatÃ¡n,20.833333,-89,590
17 Morelos,18.7475,-99.070278,19 Campeche,18.836389,-90.403333,586
56 Sonora,29.646111,-110.868889,52 Tabasco,17.972222,-92.588889,571
23 Quintana Roo,19.6,-87.916667,37 MichoacÃ¡n de Ocampo,19.168611,-101.899722,568
57 Tabasco,17.972222,-92.588889,58 Zacatecas,23.292778,-102.700556,567
17 Morelos,18.7475,-99.070278,25 Durango,24.934722,-104.911944,559
24 Colima,19.096667,-103.960833,12 Chiapas,16.41,-92.408611,558
31 Yucatán,20.833333,-89,32 Baja California Sur,25.846111,-111.972778,550
31 YucatÃ¡n,20.833333,-89,45 MichoacÃ¡n de Ocampo,19.168611,-101.899722,541
01 Aguascalientes,21.880833,-102.296111,03 Baja California Sur,25.846111,-111.972778,540
06 Colima,19.096667,-103.960833,37 Zacatecas,23.292778,-102.700556,535
55 Sinaloa,25.002778,-107.502778,53 Tlaxcala,19.428889,-98.160833,532
08 Chihuahua,28.814167,-106.439444,36 Tlaxcala,19.428889,-98.160833,519
47 Morelos,18.7475,-99.070278,48 Zacatecas,23.292778,-102.700556,490
03 Baja California Sur,25.846111,-111.972778,24 QuerÃ©taro,20.591,-100.391,483
32 Zacatecas,23.292778,-102.700556,37 Chiapas,16.41,-92.408611,482
03 Baja California Sur,25.846111,-111.972778,25 Quintana Roo,19.6,-87.916667,477
04 Campeche,18.836389,-90.403333,28 Sinaloa,25.002778,-107.502778,475
32 Zacatecas,23.292778,-102.700556,61 YucatÃ¡n,20.833333,-89,469
04 Campeche,18.836389,-90.403333,16 Hidalgo,20.478333,-98.863611,468
06 Colima,19.096667,-103.960833,22 Morelos,18.7475,-99.070278,468
31 YucatÃ¡n,20.833333,-89,54 Sinaloa,25.002778,-107.502778,462
03 Baja California Sur,25.846111,-111.972778,9 Chiapas,16.41,-92.408611,459
27 Tabasco,17.972222,-92.588889,35 Durango,24.934722,-104.911944,457
04 Campeche,18.836389,-90.403333,5 Baja California Sur,25.846111,-111.972778,450
04 Campeche,18.836389,-90.403333,20 Morelos,18.7475,-99.070278,449
